ID,Combo,LLNL Reference,DOI Link,Year,Journal,Vol,Page,Authors,Title
,Sorption and desorption of neptunium(V) on loess: batch and column experiments2003,wzls03,http://dx.doi.org/10.1524/ract.91.10.575.22469,2003,Radiochimica Acta,91,575-582,"Weijuan, L. , Zuyi, T. , Liangtian, G. and Shushen, L.",Sorption and desorption of neptunium(V) on loess: batch and column experiments
,Bestimmung des Sorptions Koeffizienten von Uran(VI) an Grimsel-und Bottsteingranit1985,wbb85,not found,1985,EIR-Bericht ,NA,Jan-60,"Wernli, B. , Bajo, C. and Bischoff, K.",Bestimmung des Sorptions Koeffizienten von Uran(VI) an Grimsel-und Bottsteingranit
,1981,w81,not found,1981,NA,NA,NA,"Wernli, B.",
,"Diffusion of HTO, Br-, I-, Cs+, 85Sr2+ and 60Co2+ in a clay formation: Results and modelling from an in situ experiment in Opalinus Clay2008",wsvlebggd08,http://dx.doi.org/10.1016/j.apgeochem.2007.11.004,2008,Science Direct,23,678-691,"Wersin, P. , Soler, J. M. , Van Loon, L. , Eikenberg, J. , Baeyens, B. , Grolimund, D. , Gimmi, T. and Dewonck, S.","Diffusion of HTO, Br-, I-, Cs+, 85Sr2+ and 60Co2+ in a clay formation: Results and modelling from an in situ experiment in Opalinus Clay"
,"In situ migration experiments at Aspo Hard Rock Laboratory, Sweden : Results of radioactive tracer migration studies in a single fracture2001",wbss01,not found,2001,Journal of Radioanalytical and Nuclear Chemistry ,250,501-517,"Widestrand, H. , Byegaard, J. , Skarnemark, G. and Skaalberg, M.","In situ migration experiments at Aspo Hard Rock Laboratory, Sweden : Results of radioactive tracer migration studies in a single fracture"
,The potential effect of cementitious colloids on radionuclide mobilisation in a repository for radioactive waste2004,wtb04,http://dx.doi.org/10.1016/S0883-2927(03)00114-8,2004,Applied Geochemistry,19,119-135,"Wieland, E. , Tits, J. and Bradbury, M. H.",The potential effect of cementitious colloids on radionuclide mobilisation in a repository for radioactive waste
,Experimental evidence for solubility limitation of the aqueous Ni(II) concentration and isotopic exchange of 63Ni in cementitious systems2006,wtub06,http://dx.doi.org/10.1524/ract.2006.94.1.29,2006,Radiochimica Acta,94,29-36,"Wieland, E. , Tits, J. , Ulrich, A. and Bradbury, M. H.",Experimental evidence for solubility limitation of the aqueous Ni(II) concentration and isotopic exchange of 63Ni in cementitious systems
,Solubility measurements and sorption studies of thorium in cement pore water1998,whos98,http://dx.doi.org/10.1016/S0925-8388(98)00069-3,1998,Jounal of Alloys and Compounds,271-273,272-276,"Wierczinski, B. , Helfer, S. , Ochs, M. and Skarnemark, G.",Solubility measurements and sorption studies of thorium in cement pore water
,Mobility of Technetium in Various Rocks and Defined Combinations of Natural Minerals1988,wbtb88,http://dx.doi.org/10.1524/ract.1988.4445.1.183,1988,Radiochimica Acta,44/45,183-186,"Winkler, A. , Bruehl, H. , Trapp, C. and Bock, W. D.",Mobility of Technetium in Various Rocks and Defined Combinations of Natural Minerals
,Diffusion of organic colloids in compacted bentonite. The influence of ionic strength on molecular size and transport capacity of the colloids2000,we00,not found,2000,SKB Technical Report,NA,40,"Wold, S. and Eriksen, T. E.",Diffusion of organic colloids in compacted bentonite. The influence of ionic strength on molecular size and transport capacity of the colloids
,Influence of electrolytes on metal ion sorption by clays1981,wp81,http://dx.doi.org/10.1016/0009-2541(81)90087-5,1981,Chemical Geology,33,91-99,"Wold, J. and Pickering, W.F.",Influence of electrolytes on metal ion sorption by clays
,"Sorption-desorption studies on tuff: I. Initial studies with samples from the J-13 drill site, Jackass Flats, Nevada1979",wbcdelns79,not found,1979,NA,NA,NA,"Wolfsberg, K., Bayhurst, B.P., Crowe, B.M., Daniels, W.R., Erdal, B.R., Lawrence, F.O., Norris, A.E. and Smyth, J.R.","Sorption-desorption studies on tuff: I. Initial studies with samples from the J-13 drill site, Jackass Flats, Nevada"
,"Sorption-desorption studies on tuff III. A continuation of studies with samples from Jackass Flats and Yucca Mountain, Nevada1981",wabddvelmm81,not found,1981,Los Alamos Scientific Laboatory Report,NA,NA,"Wolfsberg, K. , Aguilar, R. D. , Bayhurst, B. P. , Daniels, W. R. , DeViliers, S. J. , Erdal, B. R. , Lawrence, F. O. , Maestas, S. , Mitchell, A. J. , et al.","Sorption-desorption studies on tuff III. A continuation of studies with samples from Jackass Flats and Yucca Mountain, Nevada"
,Evaluation of Sodium Bentonite and Crushed Basalt as Waste Package Backfill Materials1982,wal82,not found,1982,NA,NA,all page,"Wood, M. I. , Aden, G. D. and Lane, D. L.",Evaluation of Sodium Bentonite and Crushed Basalt as Waste Package Backfill Materials
,Comparative study of cesium sorption on crushed and intact sedimentary rock2006,xiks06a,http://dx.doi.org/10.1524/ract.2006.94.9-11.683,2006,Radiochimica Acta,94,683-687,"Xia, X. , Iijima, K. , Kamei, G. and Shibata, M.",Comparative study of cesium sorption on crushed and intact sedimentary rock
,Selenium sorption in a sedimentary rock/saline groundwater system and spectroscopic evidence2006,xkisok06b,http://dx.doi.org/10.1557/PROC-932-17.1,2006,Materials Research Society Symposium Proceedings,932,933-941,"Xia, X. , Kamei, G. , Iijima, K. , Shibata, M. , Ohnuki, T. and Kozai, N.",Selenium sorption in a sedimentary rock/saline groundwater system and spectroscopic evidence
,Influence of soil humic acid and fulvic acid on sorption of thorium(IV) on MX-80 bentonite2006,xwczt06a,http://dx.doi.org/10.1524/ract.2006.94.8.429,2006,Radiochimica Acta,94,429-434,"Xu, D. , Wang, X. K. , Chen, C. L. , Zhou, X. and Tan, X. L.",Influence of soil humic acid and fulvic acid on sorption of thorium(IV) on MX-80 bentonite
,Sorption and diffusion of 90Sr2+ in compacted bentonite investigated by a capillary method2006,xcw06b,http://dx.doi.org/10.1007/s10967-006-0055-3,2006,Journal of Radioanalytical and Nuclear Chemistry ,267,357-362,"Xu, D. , Chen, C. L. and Wang, X. K.",Sorption and diffusion of 90Sr2+ in compacted bentonite investigated by a capillary method
,"Adsorption and Desorption of Ni2+ on Na-montmorillonite: Effect of pH, Ionic Strength, Fulvic Acid, Humic Acid and Addition Seuence2008",xzw08,http://dx.doi.org/10.1016/j.clay.2007.05.006,2008,Applied Clay Science,39,133-141,"Xu, D. , Zhou, X. and Wang, X.","Adsorption and Desorption of Ni2+ on Na-montmorillonite: Effect of pH, Ionic Strength, Fulvic Acid, Humic Acid and Addition Seuence"
,Effect of temperature on the removal of lead(II) by adsorption on china clay and wollastonite1991,yts91,http://dx.doi.org/10.1002/jctb.280510105,1991,Journal of Chemical Technology and Biotechnology,51,47-60,"Yadava, K.P., Tyagi, B.S. and Singh, V.N.",Effect of temperature on the removal of lead(II) by adsorption on china clay and wollastonite
,Study on Distribution Coefficient for Cesium between Granite and Water1981,yssaa81,not found,1981,JAERI-M,NA,NA,"Yamagata, S. , Shimooka, K. , Senoo, M. , Araki, K. and Amano, H.",Study on Distribution Coefficient for Cesium between Granite and Water
,Present status of the study on radionuclide diffusion in barrier materials.2002,yn02,not found,2002,JAERI-Conf,NA,325-332,"Yamaguchi, T. and Nakayama, S.",Present status of the study on radionuclide diffusion in barrier materials.
,Adsorption of Cesium and Neptunium(V) on Bentonite1991,ypmh91,not found,1991,"submitted to the 3rd int.Conf.on Nucleaar Fuel and Waste Management,Sendai",NA,999-1004,"Yamaguchi, T. , Pratopo, M. I. , Moriyama, H. and Higashi, K.",Adsorption of Cesium and Neptunium(V) on Bentonite
,Sorption of Sr on Individual Component of Cement Hydrate and the Electrical State of the Surfaces1997,yyt97,not found,1997,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,582,"Yamaguchi, T. , Yoneoka, T. and Tanaka, S.",Sorption of Sr on Individual Component of Cement Hydrate and the Electrical State of the Surfaces
,Adsorption Behavior and Distribution Coefficient of 137Cs and 85Sr on Sand1980,ytw80,not found,1980,Radioisotopes,29,13-16,"Yamamoto, T. , Takebe, S. and Wadachi, Y.",Adsorption Behavior and Distribution Coefficient of 137Cs and 85Sr on Sand
,Behavior of radionuclides in aerated sand layer. Influence of carrier concentration1982,ytw82,not found,1982,Hoken-Butsuri ,17,9-Mar,"Yamamoto, T. , Takebe, S. and Wadachi, Y.",Behavior of radionuclides in aerated sand layer. Influence of carrier concentration
,Radionuclide migration test using undisturbed aerated soil1988,yoow88,not found,1988,Nihon-Genshiryoku-Gakkai-shi,30,942-949,"Yamamoto, T. , Ohtsuka, Y. , Ogawa, H. and Wadachi, Y.",Radionuclide migration test using undisturbed aerated soil
,Migration Behavior of Radionuclide in Soil Layer of Final Storage Site_x000B_-Radionuclide Migration Test in Aerated Soil Layer by Precipitation-1989,ytotmkyw89,not found,1989,JAERI-M,NA,all page,"Yamamoto, T. , Takebe, S. , Ogawa, H. , Tanaka, T. , Mukai, M. , Komiya, T. , Yokomoto, S. and Wadac, T.",Migration Behavior of Radionuclide in Soil Layer of Final Storage Site_x000B_-Radionuclide Migration Test in Aerated Soil Layer by Precipitation-
,Sorption Behavior of Neptunium(V) Ion on Clay Sorbent1990,yyyss90,http://dx.doi.org/10.1080/18811248.1990.9731231,1990,Journal of Nuclear Science and Technology,27,626-630,"Yamamoto, K. , Yamamoto, K. , Yanagi, T. , Senoo, M. and Sakamoto, Y.",Sorption Behavior of Neptunium(V) Ion on Clay Sorbent
,Large Column Test for Radionuclide Migration in Soil Layer.1991,yto91,not found,1991,The Third International Symposium on Advanced Nuclear Energy Research?Global Environment and Nuclear Energy?,462,420-425,"Yamamoto, T. , Takebe, S. and Ogawa, H.",Large Column Test for Radionuclide Migration in Soil Layer.
,The study associated with radionuclide migration behavior on last preservation planned site soil -ventilation-layer nuclide migration examination in fresh water-1989,y89,not found,1989,JAERI-Memo,NA,NA,"Yamamoto, T.",The study associated with radionuclide migration behavior on last preservation planned site soil -ventilation-layer nuclide migration examination in fresh water-
,Conformity Evaluation of Land Disposal for the Radioactive Waste of Tokai Power Plant2003,yaooshek03,not found,2003,Nihon-Genshiryoku-Gakkai Haru-no-Taikai,NA,868,"Yamazaki, K. , Akuzawa, N. , Ohura, H. , Ohwaki, E. , Shindou, T. , Hirayama, S. , Ebine, M. and Kido, Y.",Conformity Evaluation of Land Disposal for the Radioactive Waste of Tokai Power Plant
,A Statistical Approach for the Estimation of Strontium Distribution Coefficient1993,yu93,http://dx.doi.org/10.1021/es00048a023,1993,Nihon-Genshiryoku-Gakkai-yokousyu,NA,657,"Yasuda, H. and Uchida, S.",A Statistical Approach for the Estimation of Strontium Distribution Coefficient
,"Behavior of zinc in soil-plant system, (1). Experimental study on the distribution coefficient of zinc1992",yimhn92,not found,1992,Hoken-Butsuri,27,123-134,"Yasuda, H. , Inoue, Y. , Morisawa, S. , Horiuchi, M. and Nishitani, H.","Behavior of zinc in soil-plant system, (1). Experimental study on the distribution coefficient of zinc"
,"Sorption of Manganese, Cobalt, Zinc, Strontium, and Cesium onto Agricultural Soils : Statistical Analysis on Effects of Soil Properties1995",yumy95,http://dx.doi.org/10.1007/BF00482595,1995,"Water, Air, Soil Pollution",83,85-96,"Yasuda, H. , Uchida, S. , Muramatsu, Y. and Yoshida, S.","Sorption of Manganese, Cobalt, Zinc, Strontium, and Cesium onto Agricultural Soils : Statistical Analysis on Effects of Soil Properties"
,Distribution Coefficients of Platinum Group Metals between Soil Solida and Liquid Phases1996,y96,not found,1996,Environmental Technology,17,1151-1154,"Yasuda, H.",Distribution Coefficients of Platinum Group Metals between Soil Solida and Liquid Phases
,Cesium sorption studies on spanish clay materials1998,ylhbgg98,http://dx.doi.org/10.1524/ract.1998.82.special-issue.275,1998,Radiochimica Acta,82,275-278,"Yllera-de-Llano, A. , Hernandez-Benitez, A. and Garcia-Gutierrez, M.",Cesium sorption studies on spanish clay materials
,Adsorption of I- and IO3- onto 63 Japanese Soils1995,ymu95,http://dx.doi.org/10.3769/radioisotopes.44.12_837,1995,Radioisotopes,44,837-845,"Yoshida, S. , Muramatsu, Y. and Uchida, S.",Adsorption of I- and IO3- onto 63 Japanese Soils
,Studies on the Sorption of I-(Iodide) and IO3-(Iodate) onto Andsols1992,ymu92,not found,1992,"Water, Air, Soil Pollution",63,321-329,"Yoshida, S. , Muramatsu, Y. and Uchida, S.",Studies on the Sorption of I-(Iodide) and IO3-(Iodate) onto Andsols
,Diffusion and sorption properties of radionuclides in compacted bentonite1997,yn97,not found,1997,SKB Technical Report,NA,NA,"Yu, J.-W. and Neretnieks, I.",Diffusion and sorption properties of radionuclides in compacted bentonite
,"Effect of pH, ionic strength and fulvic acid on the sorption and desorption of cobalt to bentonite2006",yrccw06,http://dx.doi.org/10.1016/j.apradiso.2005.08.019,2006,Applied Radiation and Isotopes,64,455-461,"Yu, S. M. , Ren, A. P. , Chen, C. L. , Chen, Y. X. and Wang, X.","Effect of pH, ionic strength and fulvic acid on the sorption and desorption of cobalt to bentonite"
,Sorption and Migration of 137Cs Attached to Organic Materials of Tea in Silty Clay Soil1996,yo96,http://dx.doi.org/10.1016/0969-806X(94)00144-9,1996,Radiation Physics and Chemistry,47,117-123,"Yucel, H. and Ozmen, A.",Sorption and Migration of 137Cs Attached to Organic Materials of Tea in Silty Clay Soil
,An approach to understanding bentonite-water interaction and nuclides migration in bentonite1994,ysss94,not found,1994,Houshasei-Haikibutsu-Kenkyu,1,33-42,"Yui, M. , Sasaki, Y. , Shibutani, T. and Sato, H.",An approach to understanding bentonite-water interaction and nuclides migration in bentonite
,Cobalt and Cesium Sorption Characteristics in Mixture of Bentonite and Fly Ash for Use in Backfill Material1996,yhjmsk96,not found,1996,NA,NA,175-185,"Yun, Hyeong-Joon and Moon, Suk-Kyoo",Cobalt and Cesium Sorption Characteristics in Mixture of Bentonite and Fly Ash for Use in Backfill Material
,Influence of Hydrolysis on the Sorption of Metal Cations by Smectites:_x000B_Importance of Edge Coordination Reactions1993,zmk93,not found,1993,Aquatic Sciences,55,251-261,"Zachara, J. M. and McKinley, J. P.",Influence of Hydrolysis on the Sorption of Metal Cations by Smectites:_x000B_Importance of Edge Coordination Reactions
,Influence of hydrolysis on the sorption of metal cations by smectite: Importance of edge coordination reactions1993,zmk93,http://dx.doi.org/10.1007/BF00877270,1993,Aquatic Sciences,55,250-261,"Zachara, J. M. and McKinley, J. P.",Influence of hydrolysis on the sorption of metal cations by smectite: Importance of edge coordination reactions
,"Sorption of Cs+ to Micaceous Subsurface Sediments from the Handord Site, USA2002",zslmksg02,not found,2002,Geochimica et Cosmochimica Acta,66,193-211,"Zachara, J. , Smith, S. , Liu, C. , McKinley, J. , Serne, R. and Gassma, P.","Sorption of Cs+ to Micaceous Subsurface Sediments from the Handord Site, USA"
,Sorption of Technetium on Minerals Containing Antimony1992,zx92,not found,1992,American Chemical Society,NA,299-301,"Zeng, J. and Xia, D.",Sorption of Technetium on Minerals Containing Antimony
,The partitioning of uranium and neptunium onto hydrothermally altered concrete2000,zasv00,http://dx.doi.org/10.1524/ract.2000.88.9-11.729,2000,Radiochimica Acta,88,729-736,"Zhao, P. , Allen, P. G. , Sylwester, E. R. and Viani, B. E.",The partitioning of uranium and neptunium onto hydrothermally altered concrete
